執行日期,科目名稱,摘要,受款單位, 金額 
111/12/01,國民及學前教育行政及督導,大額通報教補12月5日-一般地區學校111學年度推動國小合理教師員額所需經費第1期款,臺北市政府教育局,"98,840,448"
111/12/01,國民及學前教育行政及督導,大額通報教補12月5日-一般地區學校111學年度推動國小合理教師員額所需經費第1期款,臺北市政府教育局,"14,485,370"
111/12/01,國民及學前教育行政及督導,111年桃園市政府承接教育部國、私立高級中等學校功能調整及業務移撥所需經費-12,桃園市政府,"37,142,000"
111/12/01,國民及學前教育行政及督導,111年新北市政府承接教育部國、私立高級中等學校功能調整及業務移撥所需經費-12,新北市政府教育局,"9,269,000"
111/12/01,國民及學前教育行政及督導,111學年度高級中等學校提升學生實習實作能力計畫,臺中市政府教育局,"1,815,721"
111/12/01,國民及學前教育行政及督導,111學年度高級中等學校提升學生實習實作能力計畫,臺北市政府教育局,"759,808"
111/12/01,國民及學前教育行政及督導,111學年度高級中等學校提升學生實習實作能力計畫,新北市政府教育局,"894,249"
111/12/01,國民及學前教育行政及督導,新市國中110年度充實設施設備-操場周圍排水改善工程經費,臺南市政府教育局,"692,215"
111/12/01,國民及學前教育行政及督導,陽明高中111學年度海外攬才子女專班實施計畫第2期款,臺北市政府教育局,"2,852,000"
111/12/01,國民及學前教育行政及督導,陽明高中111學年度海外攬才子女專班實施計畫第2期款,臺北市政府教育局,"2,598,451"
111/12/01,國民及學前教育行政及督導,大園高中111學年度海外攬才子女專班實施計畫第2期款,桃園市政府,"6,935,016"
111/12/01,國民及學前教育行政及督導,111學年度輔導教師人力運用計畫經費(第1期),高雄市政府教育局,"1,590,931"
111/12/01,國民及學前教育行政及督導,111學年度輔導教師人力運用計畫經費(第1期),高雄市政府教育局,"45,408,000"
111/12/01,國民及學前教育行政及督導,110學年度補助各地方政府兼任及代課教師(編制內)鐘點費調增差額(第2期),臺北市政府教育局,"4,415,500"
111/12/01,國民及學前教育行政及督導,110學年度補助各地方政府兼任及代課教師(編制內)鐘點費調增差額(第2期),臺南市政府教育局,"15,229,411"
111/12/01,國民及學前教育行政及督導,111學年度自願赴偏遠地區學校服務校長及教師傷害保險費用補助經費,臺北市政府教育局,"16,125"
111/12/01,國民及學前教育行政及督導,安溪非營利幼兒園等25園110學年度績效獎金經費,新北市政府教育局,"2,822,000"
111/12/01,國民及學前教育行政及督導,111學年度伯利恆佳里非營利幼兒園增班之建築物裝修及購置教學設備第1期款,臺南市政府教育局,"227,835"
111/12/01,國民及學前教育行政及督導,111學年度伯利恆佳里非營利幼兒園增班之建築物裝修及購置教學設備第1期款,臺南市政府教育局,"199,532"
111/12/01,國民及學前教育行政及督導,111學年度北大非營利幼兒園增班之建築物裝修及購置教學設備經費,新北市政府教育局,"185,000"
111/12/01,國民及學前教育行政及督導,111學年度北大非營利幼兒園增班之建築物裝修及購置教學設備經費,新北市政府教育局,"1,333,000"
111/12/01,國民及學前教育行政及督導,111學年度東湖非營利幼兒園建築物裝修及購置教學設備第2期款,新北市政府教育局,"134,300"
111/12/01,國民及學前教育行政及督導,111學年度東湖非營利幼兒園建築物裝修及購置教學設備第2期款,新北市政府教育局,"12,480,425"
111/12/01,國民及學前教育行政及督導,111年11月份921地震公私立學校修復重建教學建築與設施專案貸款利息差額及手續費,合作金庫商業銀行股份有限公司,"7,478"
111/12/01,國民及學前教育行政及督導,111學年度高級中等以下學校辦理部分班級原住民族實驗教育班及實驗教育課程經費,新北市政府教育局,"490,938"
111/12/01,國民及學前教育行政及督導,111年度年度高級中等學校充實學生自主學習空間及設施計畫第1期款,臺中市政府教育局,"1,329,000"
111/12/01,國民及學前教育行政及督導,110學年度私立教保服務機構導師職務加給差額及教保費追加款,臺中市政府教育局,"789,046"
111/12/01,國民及學前教育行政及督導,桃子腳新建公共化幼兒園園舍工程第2期款,新北市政府教育局,"42,633,500"
111/12/01,國民及學前教育行政及督導,111年度公立高級中等學校校舍耐震能力改善計畫之補強工程(含設計監造)第2期款,高雄市政府教育局,"815,501"
111/12/02,國民及學前教育行政及督導,111學年度國民中小學學生學習扶助計畫第1期追加款,臺北市政府教育局,"61,324"
111/12/02,國民及學前教育行政及督導,111學年度國民中小學教職員工課稅配套方案之外國僑民學校及附設幼兒園第1期款,臺北市政府教育局,"11,024,868"
111/12/02,國民及學前教育行政及督導,111學年度國民中小學教職員工課稅配套方案之外國僑民學校及附設幼兒園第1期款,臺北市政府教育局,"1,151,707"
111/12/02,國民及學前教育行政及督導,玉井國中110年度充實設施設備-辦理升旗臺整建工程經費,臺南市政府教育局,"1,724,296"
111/12/02,國民及學前教育行政及督導,111年度改善偏遠地區及非山非市國民中小學宿舍計畫經費,新北市政府教育局,"2,686,746"
111/12/02,國民及學前教育行政及督導,110學年度第2學期國小辦理課後照顧服務身心障礙專班調增上班時間鐘點費差額補助經費,臺南市政府教育局,"25,780"
111/12/02,國民及學前教育行政及督導,111年度改善無障礙校園環境計畫經費,高雄市政府教育局,"3,343,975"
111/12/02,國民及學前教育行政及督導,111年度補助縣市汰舊換新身心障礙學生交通車經費,臺南市政府教育局,"1,318,218"
111/12/02,國民及學前教育行政及督導,111年度專案補助各縣市汰舊換新身心障礙學生交通車經費,臺中市政府教育局,"4,099,202"
111/12/02,國民及學前教育行政及督導,111年度補助縣市汰舊換新身心障礙學生交通車經費,臺中市政府教育局,"4,088,627"
111/12/02,國民及學前教育行政及督導,111年度辦理新住民語文教學支援工作人員培訓經費,桃園市政府,"117,600"
111/12/02,國民及學前教育行政及督導,111原民一般教學設備經費,臺中市政府教育局,"681,120"
111/12/02,國民及學前教育行政及督導,111學年度高級中等以下學校辦理原住民實驗班級實驗教育經費,新北市政府教育局,"210,000"
111/12/02,國民及學前教育行政及督導,111年度實施新住民子女華語文學習扶助課程經費,高雄市政府教育局,"21,002"
111/12/02,國民及學前教育行政及督導,111年度改善無障礙校園環境計畫經費,高雄市政府教育局,"2,103,459"
111/12/02,國民及學前教育行政及督導,111年度改善無障礙校園環境計畫經費,臺中市政府教育局,"3,012,951"
111/12/02,國民及學前教育行政及督導,111學年度高中優質化輔助方案,臺南市政府教育局,"841,117"
111/12/02,國民及學前教育行政及督導,111年11月份921地震公私立學校修復重建教學建築與設施專案貸款利息差額及手續費,臺灣土地銀行,"7,376"
111/12/02,國民及學前教育行政及督導,111學年度偏遠地區及非山非市學校公立高級中等學校學生通學交通費,新北市政府教育局,"4,371,707"
111/12/05,國民及學前教育行政及督導,111年度永福國小附設幼兒園充實及改善教學環境設施設備經費,新北市政府教育局,"15,080"
111/12/05,國民及學前教育行政及督導,111年度永福國小附設幼兒園充實及改善教學環境設施設備經費,新北市政府教育局,"95,027"
111/12/05,國民及學前教育行政及督導,111年度梧棲附設幼兒園等4園充實及改善教學環境設施設備經費,臺中市政府教育局,"150,612"
111/12/05,國民及學前教育行政及督導,111年度梧棲附設幼兒園等4園充實及改善教學環境設施設備經費,臺中市政府教育局,"3,215,940"
111/12/05,國民及學前教育行政及督導,職場教保服務中心111學年度學費差額補助追加款,高雄市政府教育局,"985,203"
111/12/05,國民及學前教育行政及督導,大湖國小新建公共化幼兒園園舍工程經費,桃園市政府,"12,064,000"
111/12/05,國民及學前教育行政及督導,111年度改善無障礙校園環境計畫(新建無障礙電梯),臺中市政府教育局,"3,685,311"
