課程主類別,課程副類別,課程次類別,課程名稱,報名人次總計
人文類,人文藝術,手作工藝,"""[""原住民""]""視覺設計系列""－""文化創意夢想起飛",2008
人文類,人文藝術,手作工藝,"""[""原住民""]""視覺設計系列""－""傳統工藝技術與商品結合",8183
人文類,人文藝術,手作工藝,"""[""原住民""]""蔡宜錦""－""時尚原住民特色產品",4004
人文類,人文藝術,手作工藝,"""[""原住民""]""盧春華""－""彩繪藝術與原住民創意商品",2689
人文類,人文藝術,手作工藝,"""[""環境教育""]""環保 健康 生活手工皂",3461
人文類,人文藝術,手作工藝,"方佩玲""－""紙黏土創意課程",379
人文類,人文藝術,手作工藝,"年節花藝DIY""－""中華郵政提供",409
人文類,人文藝術,手作工藝,"李文壽""－""漫談印石文物1",585
人文類,人文藝術,手作工藝,"李文壽""－""漫談印石文物2",495
人文類,人文藝術,手作工藝,"李承澔""－""當代藝術及氣球創作",254
人文類,人文藝術,手作工藝,"花園輕手作""－""蝶古巴特的運用",722
人文類,人文藝術,手作工藝,"金屬工藝""－""臺北市職能發展學院提供",381
人文類,人文藝術,手作工藝,金屬線編織飾品,728
人文類,人文藝術,手作工藝,書法基礎教學,928
人文類,人文藝術,手作工藝,"張克晉""－""漢唐風華1",399
人文類,人文藝術,手作工藝,"張克晉""－""漢唐風華2",325
人文類,人文藝術,手作工藝,"曹蕙蘭""－""基礎押花",372
人文類,人文藝術,手作工藝,"詹淑女""－""客家工藝""－""童玩巧手",1674
人文類,人文藝術,手作工藝,"臺北燈節""－""阮慶岳""、""張元茜""、""吳瑪俐""－""我們永遠得不到永遠""－""新媒體藝術與公共空間的短暫交會",209
人文類,人文藝術,手作工藝,"臺北燈節""－""桂雅文""－""文化治理的實踐""－""全球文化公部門的格局與視野",216
人文類,人文藝術,手作工藝,篆刻與篆書,882
人文類,人文藝術,文化與文學,"""[""原住民""]""科學與原住民文化的對話",1305
人文類,人文藝術,文化與文學,"""[""原住民""]""原住民山林草藥智慧""－""行政院原住民族委員會提供",3159
人文類,人文藝術,文化與文學,"""[""原住民""]""原住民飲食文化",1208
人文類,人文藝術,文化與文學,"""[""原住民""]""臺北凱達格蘭族的追尋",1711
人文類,人文藝術,文化與文學,"""[""原住民""]""臺灣原住民各族傳統樂器製作""－""行政院原住民族委員會提供",786
人文類,人文藝術,文化與文學,"""[""原住民""]""臺灣原住民防衛與武器""－""行政院原住民族委員會提供",759
人文類,人文藝術,文化與文學,"""[""原住民""]""臺灣原住民族建築智慧""－""行政院原住民族委員會提供",996
人文類,人文藝術,文化與文學,"""[""原住民""]""臺灣原住民族傳統生活祭儀""－""行政院原住民族委員會提供",1387
人文類,人文藝術,文化與文學,"""[""原住民""]""臺灣原住民族傳統生計型態介紹""－""行政院原住民族委員會提供",1086
人文類,人文藝術,文化與文學,"""[""原住民""]""臺灣原住民族傳統成年禮介紹""－""行政院原住民族委員會提供",1131
人文類,人文藝術,文化與文學,"""[""原住民""]""臺灣原住民族傳統部落與祖靈聖地""－""行政院原住民族委員會提供",4932
人文類,人文藝術,文化與文學,"""[""原住民""]""臺灣原住民族圖紋與工藝飾品的介紹""－""行政院原住民族委員會提供",1222
人文類,人文藝術,文化與文學,"""[""原住民""]""臺灣原住民歌""（""童""）""謠與舞蹈介紹""－""行政院原住民族委員會提供",1591
人文類,人文藝術,文化與文學,"""[""原住民""]""認識原住民文化與特質""－""行政院人事行政總處公務人力發展學院提供",9094
人文類,人文藝術,文化與文學,"""[""環境教育""]""一次搞懂文山區文化資產",877
人文類,人文藝術,文化與文學,"""[""環境教育""]""民俗好好看",922
人文類,人文藝術,文化與文學,"""[""環境教育""]""原住民建築文化",1770
人文類,人文藝術,文化與文學,"""[""環境教育""]""探查萬華""─""文化保存之旅",1810
人文類,人文藝術,文化與文學,"八芝蘭""─""士林區發展史",280
人文類,人文藝術,文化與文學,大散文‧小筆記,269
人文類,人文藝術,文化與文學,大稻埕的故事,423
人文類,人文藝術,文化與文學,中國文學詩詞賞析,1316
人文類,人文藝術,文化與文學,"日據時期的臺灣美術""－""國立公共資訊圖書館提供",537
人文類,人文藝術,文化與文學,"永遠的印象派畫家""─""莫內",558
人文類,人文藝術,文化與文學,多元文化閱讀的推動,530
人文類,人文藝術,文化與文學,"吳祥輝""－""從芬蘭驚豔到驚歎愛爾蘭""－""用詩人的心在歷史中旅行",736
人文類,人文藝術,文化與文學,"吳德朗""－""影響印度人的史詩",308
人文類,人文藝術,文化與文學,"李俊輝""－""靜觀自得""－""談中國人的書畫旨趣與鑑賞方法",406
人文類,人文藝術,文化與文學,"林邱琇環""－""賞愛蘇東坡1",328
人文類,人文藝術,文化與文學,"林邱琇環""－""賞愛蘇東坡2",324
人文類,人文藝術,文化與文學,版畫與手工藝術,891
人文類,人文藝術,文化與文學,"邱琇環""─""老子的智慧",430
人文類,人文藝術,文化與文學,"邱琇環""－""順自然通造化""－""說莊子寓言故事",359
人文類,人文藝術,文化與文學,"客家人的音樂""－""不只是山歌""（""上""）""",857
人文類,人文藝術,文化與文學,"客家人的音樂""－""不只是山歌""（""下""）""",1083
人文類,人文藝術,文化與文學,客家音樂與戲劇,3807
人文類,人文藝術,文化與文學,"客家語言與文化""－""文化篇",5503
人文類,人文藝術,文化與文學,"客家語言與文化""－""客家之美",19141
