年度,序號,行政區,上課地點,上課日期,上課時間,課程名稱,人數
109,1,文山區,文山區公民會館,1090106,10:00-12:00,LINE的活用術,17
109,2,文山區,文山區公民會館,1090106,14:30-16:30,用手機拍出美照,19
109,3,文山區,文山區公民會館,1090113,10:00-12:00,一起來臉書,18
109,4,大安區,社會創新實驗中心,1090205,10:00-12:00,手機基本操作,20
109,5,大安區,社會創新實驗中心,1090205,14:30-16:30,用手機拍出美照,32
109,6,大安區,社會創新實驗中心,1090207,10:00-12:00,電子支付及雲端發票,23
109,7,大安區,社會創新實驗中心,1090207,14:30-16:30,一起來臉書,29
109,8,大安區,社會創新實驗中心,1090212,10:00-12:00,LINE 活用術,24
109,9,大安區,社會創新實驗中心,1090219,10:00-12:00,Google 生活應用,26
109,10,大安區,社會創新實驗中心,1090304,10:00-12:00,手機基本操作,11
109,11,大安區,社會創新實驗中心,1090304,14:00-16:00,用手機拍出美照,29
109,12,大安區,社會創新實驗中心,1090318,10:00-12:00,電子支付及雲端發票,28
109,13,大安區,社會創新實驗中心,1090318,14:00-16:00,電子購物好便利,26
109,14,大安區,社會創新實驗中心,1090320,10:00-12:00,一起來臉書,31
109,15,大安區,社會創新實驗中心,1090320,14:00-16:00,LINE 活用術,29
109,16,大安區,社會創新實驗中心,1090325,10:00-12:00,Google 生活應用,30
109,17,大安區,社會創新實驗中心,1090325,14:00-16:00,便利生活 PA PA GO,19
109,18,士林區,士林區公民會館,1090701,09:30-11:30,手機基本操作,13
109,19,士林區,士林區公民會館,1090703,09:30-11:30,用手機拍出美照,14
109,20,士林區,士林區公民會館,1090708,09:30-11:30,LINE 活用術,14
109,21,士林區,士林區公民會館,1090708,14:30-16:30,電子購物好便利,15
109,22,士林區,士林區公民會館,1090714,09:30-11:30,手機電子支付,19
109,23,士林區,士林區公民會館,1090714,14:30-16:30,LINE相簿全功能,16
109,24,大同區,大龍峒老人住宅,1090714,14:00-16:00,Line生活好好玩,17
109,25,士林區,士林區公民會館,1090715,09:30-11:30,一起來臉書,15
109,26,士林區,士林區公民會館,1090715,14:30-16:30,手機APP下載,14
109,27,士林區,士林區公民會館,1090721,09:30-11:30,LINE群組大解密,17
109,28,士林區,士林區公民會館,1090721,14:30-16:30,手機貼身助理啟用,16
109,29,大同區,大龍峒老人住宅,1090721,14:00-16:00,Google Map操作使用,21
109,30,士林區,士林區公民會館,1090722,09:30-11:30,臉書社團大熱門,14
109,31,士林區,士林區公民會館,1090722,14:30-16:30,手機相片整理術,18
