開課年度,開課學期,校名,課程名稱,系所名稱,年級,學分數,學制,必選修,總修課人數
108,1,國立清華大學,共善的社會設計,通識教育中心,,2,學士班(含第二部),選修,47
108,1,國立清華大學,生態體系與全球變遷,通識教育中心,,2,學士班(含第二部),必修,120
108,1,國立清華大學,生態體系與全球變遷,通識教育中心,,2,學士班(含第二部),必修,66
108,1,國立清華大學,衍生性金融商品實務研討,計量財務金融學系,,2,學士班(含第二部),選修,28
108,1,銘傳大學,音樂與生活,通識教育中心,,2,學士班(含第二部),選修,60
108,1,銘傳大學,生命科學,通識教育中心,,2,學士班(含第二部),選修,119
108,1,銘傳大學,生命科學,通識教育中心,,2,學士班(含第二部),選修,119
108,1,銘傳大學,民主與法治,通識教育中心,,2,學士班(含第二部),選修,97
108,1,銘傳大學,民主與法治,通識教育中心,,2,學士班(含第二部),選修,94
108,1,銘傳大學,華人歷史與文化,通識教育中心,,2,學士班(含第二部),選修,94
108,1,銘傳大學,應用英文(一),諮商與工商心理學系,1,0,學士班(含第二部),必修,68
108,1,銘傳大學,台灣環境生態,通識教育中心,,2,學士班(含第二部),選修,60
108,1,銘傳大學,應用英文(一),資訊管理學系,1,0,學士班(含第二部),必修,60
108,1,銘傳大學,應用英文(一),資訊管理學系,1,0,學士班(含第二部),必修,60
108,1,銘傳大學,應用英文(一),資訊管理學系,1,0,學士班(含第二部),必修,46
108,1,銘傳大學,應用英文(一),資訊工程學系,1,0,學士班(含第二部),必修,60
108,1,銘傳大學,應用英文(一),財務金融學系,1,0,學士班(含第二部),必修,60
108,1,銘傳大學,應用英文(一),財務金融學系,1,0,學士班(含第二部),必修,61
108,1,銘傳大學,應用英文(一),財務金融學系,1,0,學士班(含第二部),必修,54
108,1,銘傳大學,應用英文(一),財務金融學系,1,0,學士班(含第二部),必修,58
108,1,國立中興大學,土壤生物技術,土環系,4,3,學士班(含第二部),選修,88
108,1,國立中興大學,土壤生物技術,生技學程,4,3,學士班(含第二部),選修,88
108,1,銘傳大學,統計學(一),企業管理學系,2,3,學士班(含第二部),必修,120
108,1,銘傳大學,應用英文(一),會計學系,1,0,學士班(含第二部),必修,60
108,1,銘傳大學,應用英文(一),會計學系,1,0,學士班(含第二部),必修,59
108,1,銘傳大學,應用英文(一),會計學系,1,0,學士班(含第二部),必修,51
108,1,銘傳大學,應用英文(一),會計學系,1,0,學士班(含第二部),必修,55
108,1,銘傳大學,會計學(一),會計學系,1,3,學士班(含第二部),必修,120
108,1,銘傳大學,應用英文(一),企業管理學系,1,0,學士班(含第二部),必修,53
108,1,銘傳大學,應用英文(一),企業管理學系,1,0,學士班(含第二部),必修,59
108,1,銘傳大學,應用英文(一),動漫文創設計學士學位學程,1,0,學位學程,必修,53
108,1,銘傳大學,應用英文(一),財金法律學系,1,0,學士班(含第二部),必修,53
108,1,銘傳大學,應用英文(一),生物醫學工程學系,1,0,學士班(含第二部),必修,49
108,1,銘傳大學,應用英文(一),企業管理學系,1,0,學士班(含第二部),必修,59
108,1,銘傳大學,應用英文(一),企業管理學系,1,0,學士班(含第二部),必修,54
108,1,銘傳大學,應用英文(一),法律學系,1,0,學士班(含第二部),必修,40
108,1,銘傳大學,應用英文(一),法律學系,1,0,學士班(含第二部),必修,47
108,1,銘傳大學,應用英文(一),金融科技應用學士學位學程,1,0,學位學程,必修,45
108,1,銘傳大學,應用英文(一),數位媒體設計學系,1,0,學士班(含第二部),必修,70
108,1,銘傳大學,應用英文(一),數位媒體設計學系,1,0,學士班(含第二部),必修,70
108,1,銘傳大學,應用英文(一),醫療資訊與管理學系,1,0,學士班(含第二部),必修,53
108,1,銘傳大學,應用英文(一),醫療資訊與管理學系,1,0,學士班(含第二部),必修,54
108,1,銘傳大學,應用英文(一),華語文教學學系,1,0,學士班(含第二部),必修,59
108,1,銘傳大學,應用英文(一),華語文教學學系,1,0,學士班(含第二部),必修,55
108,1,銘傳大學,雙語教學,華語文教學學系,2,3,學士班(含第二部),選修,35
108,1,銘傳大學,微積分,國際企業學系,1,3,學士班(含第二部),必修,119
108,1,銘傳大學,應用英文(一),生物科技學系,1,0,學士班(含第二部),必修,50
108,1,銘傳大學,應用英文(一),生物科技學系,1,0,學士班(含第二部),必修,49
108,1,銘傳大學,應用英文(一),應用日語學系,1,0,學士班(含第二部),必修,68
108,1,銘傳大學,應用英文(一),應用日語學系,1,0,學士班(含第二部),必修,64
108,1,銘傳大學,應用英文(一),國際企業學系,1,0,學士班(含第二部),必修,59
108,1,銘傳大學,應用英文(一),國際企業學系,1,0,學士班(含第二部),必修,52
108,1,銘傳大學,應用英文(一),國際企業學系,1,0,學士班(含第二部),必修,27
108,1,銘傳大學,應用英文(一),國際企業學系,1,0,學士班(含第二部),必修,37
108,1,銘傳大學,音樂與生活,通識教育中心,,2,學士班(含第二部),選修,60
108,1,銘傳大學,音樂欣賞,通識教育中心,,2,學士班(含第二部),選修,60
108,1,銘傳大學,台灣環境生態,通識教育中心,,2,學士班(含第二部),選修,60
108,1,銘傳大學,應用英文(一),電腦與通訊工程學系,1,0,學士班(含第二部),必修,59
108,1,銘傳大學,應用英文(一),電腦與通訊工程學系,1,0,學士班(含第二部),必修,55
108,1,銘傳大學,應用英文(一),公共事務學系,1,0,學士班(含第二部),必修,59
108,1,銘傳大學,應用英文(一),犯罪防治學系,1,0,學士班(含第二部),必修,54
108,1,銘傳大學,應用英文(一),犯罪防治學系,1,0,學士班(含第二部),必修,65
108,1,銘傳大學,應用英文(一),應用中國文學系,1,0,學士班(含第二部),必修,60
108,1,銘傳大學,應用英文(一),風險管理與保險學系,1,0,學士班(含第二部),必修,42
108,1,銘傳大學,應用英文(一),風險管理與保險學系,1,0,學士班(含第二部),必修,70
108,1,銘傳大學,應用英文(一),風險管理與保險學系,1,0,學士班(含第二部),必修,54
108,1,銘傳大學,經濟學(一),風險管理與保險學系,1,3,學士班(含第二部),必修,99
108,1,銘傳大學,應用英文(一),都市規劃與防災學系,1,0,學士班(含第二部),必修,60
108,1,銘傳大學,應用英文(一),資訊工程學系,1,0,學士班(含第二部),必修,56
108,1,銘傳大學,應用英文(一),電子工程學系,1,0,學士班(含第二部),必修,58
108,1,銘傳大學,應用英文(一),電子工程學系,1,0,學士班(含第二部),必修,45
108,1,銘傳大學,應用英文(一),應用中國文學系,1,0,學士班(含第二部),必修,62
108,1,國立中興大學,農業科技創新與產業分析,農資院,4,2,其它(含四技二專),選修,15
108,1,國立宜蘭大學,GC王陽明帶你打土匪,通識教育中心多元選修,1,2,學士班(含第二部),選修,130
108,1,國立宜蘭大學,GD生活中的物理,通識教育中心多元選修,1,2,學士班(含第二部),選修,84
108,1,國立宜蘭大學,GD綠色能源與綠色材料,通識教育中心多元選修,1,2,學士班(含第二部),選修,80
108,1,國立中興大學,食品奈米科技導論,生技學程,4,2,學士班(含第二部),選修,13
108,1,國立中興大學,食品奈米科技導論,食生系,4,2,學士班(含第二部),選修,13
108,1,亞洲大學,行動商務安全,行動商務與多媒體應用學系,4,3,學士班(含第二部),選修,69
108,1,亞洲大學,傳播理論,資訊傳播學系,3,3,學士班(含第二部),必修,61
108,1,亞洲大學,傳播理論,資訊傳播學系,3,3,學士班(含第二部),必修,56
108,1,亞洲大學,商標法,財經法律學系(科技法律組),3,2,學士班(含第二部),選修,58
108,1,國立宜蘭大學,食品奈米科技導論,食品科學系,3,2,學士班(含第二部),選修,52
108,1,亞洲大學,資訊與科技,通識教育中心,1,2,學士班(含第二部),必修,53
108,1,亞洲大學,基礎程式設計(一),光電與通訊學系,1,1,學士班(含第二部),選修,48
108,1,亞洲大學,愛情、性別與法律,通識教育中心,1,2,學士班(含第二部),必修,105
108,1,亞洲大學,資訊與科技,通識教育中心,1,2,學士班(含第二部),必修,58
108,1,亞洲大學,統計學(一),管理學院進修學士學位學程,2,3,進修學士班(原夜間部),必修,43
108,1,亞洲大學,電子商務,管理學院進修學士學位學程,3,3,進修學士班(原夜間部),選修,28
108,1,亞洲大學,顧客關係管理,管理學院進修學士學位學程,4,3,進修學士班(原夜間部),必修,45
108,1,亞洲大學,資料結構與演算法,生物資訊與醫學工程學系,2,3,學士班(含第二部),選修,32
108,1,亞洲大學,健康產業策略管理,健康產業管理學系(醫療機構管理組),4,2,學士班(含第二部),選修,46
108,1,亞洲大學,健康產業策略管理,健康產業管理學系(健康產業管理組),4,2,學士班(含第二部),選修,36
108,1,東吳大學,簡報美學,通識教育中心,0,2,學士班(含第二部),必修,80
108,1,東吳大學,PHP與MYSQL資料庫程式初探,通識教育中心,0,2,學士班(含第二部),選修,44
108,1,東吳大學,韓流與當代東亞流行文化,社會學系,2,3,學士班(含第二部),選修,39
108,1,東吳大學,材料化學,化學系,4,2,學士班(含第二部),選修,36
