排名,學校名稱,指標1,指標2,指標3,師均英文,中文論文數,師均中文
,,,人數,,論文數,,論文數
1,國立臺灣大學,100,100,100,77.11,100,70.98
2,國立清華大學,64.14,60.99,55.79,68.39,55.74,62.99
3,國立陽明大學,59.87,36.61,58.92,100,58.53,100
4,國立成功大學,59.69,48.31,65.97,67.62,64.11,59.46
5,長庚大學,56.02,40.51,64.2,92.75,48.26,59.78
6,國立臺灣師範大學,55.28,39.54,45.7,55.41,75.18,89.26
7,國立交通大學,54.92,48.31,55.21,70.35,46.27,51.49
8,中國醫藥大學,53.97,35.63,61.12,95.01,48.86,65.85
9,國立中央大學,53.74,43.44,51.68,68.15,52.05,64.26
10,國立政治大學,52.43,37.59,40.62,49.77,70.79,91.76
11,臺北醫學大學,51.59,37.59,57.59,79.24,47.96,57.98
12,國立中山大學,50.63,37.59,48.86,67.92,51.25,69.53
13,高雄醫學大學,49.56,36.61,53.33,74.81,46.37,57.13
14,國立中正大學,49.5,36.61,41.83,53.46,57.63,81.34
15,亞洲大學,48.38,35.63,46.09,68.33,46.67,67.99
16,國立中興大學,47.82,37.59,49.77,61.73,48.16,53.44
17,國立臺灣科技大學,47.42,37.59,47.92,67.01,43.38,52.88
18,國立臺北科技大學,46.64,35.63,47.15,66.68,44.07,55.79
19,國立臺中教育大學,45.87,35.63,38.07,48.22,43.77,82.13
20,元智大學,44.99,34.66,41.73,59.39,42.98,62.49
